,country,year,food_supply_kcal
73,"Chine, continentale",2019,4698194221.1275
137,Inde,2019,3509218062.1395
343,États-Unis d'Amérique,2019,1295940052.8044999
139,Indonésie,2019,785232925.3776001
45,Brésil,2019,694963402.8912001
231,Pakistan,2019,546943491.7632
217,Nigéria,2019,516389338.51019996
109,Fédération de Russie,2019,487878145.46660006
30,Bangladesh,2019,416018398.3212
201,Mexique,2019,408986434.6946
155,Japon,2019,343660353.9264
337,Égypte,2019,331458847.31420004
321,Turquie,2019,317402356.2608
239,Philippines,2019,310806945.216
9,Allemagne,2019,302220207.4208
329,Viet Nam,2019,283706926.6824
345,Éthiopie,2019,275096811.8422
141,Iran (République islamique d'),2019,252555381.71
107,France,2019,227670539.5352
250,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2019,225656444.5122
151,Italie,2019,217900628.78460002
309,Thaïlande,2019,200302071.68479997
264,République démocratique du Congo,2019,194061324.8583
258,République de Corée,2019,175185011.911
3,Afrique du Sud,2019,164238838.6676
99,Espagne,2019,158936405.914
77,Colombie,2019,152885405.2089
7,Algérie,2019,148544223.73950002
209,Myanmar,2019,147147863.3967
17,Argentine,2019,146305321.6544
270,République-Unie de Tanzanie,2019,141260970.3488
63,Canada,2019,134352974.7222
241,Pologne,2019,133862648.808
323,Ukraine,2019,130126530.63
195,Maroc,2019,122918019.2016
161,Kenya,2019,117243362.566
15,Arabie saoudite,2019,115374847.408
290,Soudan,2019,111216713.12949999
229,Ouzbékistan,2019,106674497.39899999
185,Malaisie,2019,96751848.54779999
115,Ghana,2019,94883669.0145
143,Iraq,2019,94880623.1664
245,Pérou,2019,92044846.4232
227,Ouganda,2019,91277102.7792
21,Australie,2019,88840366.5252
1,Afghanistan,2019,84164798.41000001
223,Népal,2019,82036823.925
11,Angola,2019,78510192.1017
89,Côte d'Ivoire,2019,74391348.603
61,Cameroun,2019,73031829.7542
248,Roumanie,2019,71182731.51269999
71,"Chine, Taiwan Province de",2019,70449401.4042
327,Venezuela (République bolivarienne du),2019,64835143.238400005
331,Yémen,2019,64032840.4282
159,Kazakhstan,2019,63212546.128199995
207,Mozambique,2019,63063099.168
215,Niger,2019,60851772.989099994
237,Pays-Bas (Royaume des),2019,60216480.21039999
293,Sri Lanka,2019,59831866.362399995
65,Chili,2019,58025320.908700004
191,Mali,2019,57375080.50619999
49,Burkina Faso,2019,55088985.1176
183,Madagascar,2019,54914827.785000004
268,République populaire démocratique de Corée,2019,53245508.883999996
254,République arabe syrienne,2019,50612016.097500004
187,Malawi,2019,49003198.815
59,Cambodge,2019,45570358.21
121,Guatemala,2019,45089746.289
34,Belgique,2019,44300500.5476
341,Équateur,2019,43465840.5636
301,Sénégal,2019,43284029.9936
317,Tunisie,2019,41457337.958399996
333,Zambie,2019,41228519.4688
87,Cuba,2019,38745438.458000004
305,Tchad,2019,37068900.8446
123,Guinée,2019,36218725.127000004
119,Grèce,2019,36172559.2778
243,Portugal,2019,35865310.3616
307,Tchéquie,2019,35242352.9829
23,Autriche,2019,33864716.782800004
25,Azerbaïdjan,2019,33446664.3225
299,Suède,2019,33278328.720000003
262,République dominicaine,2019,33188319.355599996
55,Bénin,2019,33024043.566800002
135,Hongrie,2019,32337133.713999998
53,Bélarus,2019,31845935.322399996
149,Israël,2019,31366744.0048
335,Zimbabwe,2019,31086175.6755
339,Émirats arabes unis,2019,30447852.4976
295,Suisse,2019,29235301.1367
39,Bolivie (État plurinational de),2019,28489925.946
252,Rwanda,2019,28207930.481900003
157,Jordanie,2019,26913599.408
133,Honduras,2019,26222894.0379
303,Tadjikistan,2019,25825021.560000002
280,Serbie,2019,25626688.3242
291,Soudan du Sud,2019,24462174.538
67,Chine - RAS de Hong-Kong,2019,23919294.3468
131,Haïti,2019,23568728.7964
51,Burundi,2019,21136740.2064
173,Libye,2019,20890231.7272
91,Danemark,2019,20752785.8868
47,Bulgarie,2019,20247390.4782
235,Paraguay,2019,20219519.5917
313,Togo,2019,20080661.8254
266,République démocratique populaire lao,2019,19649590.8275
145,Irlande,2019,19133842.000800002
219,Norvège,2019,18890659.788
284,Sierra Leone,2019,18475280.2751
105,Finlande,2019,18438299.3836
97,El Salvador,2019,17722341.224600002
319,Turkménistan,2019,17563321.1664
163,Kirghizistan,2019,17471332.0104
213,Nicaragua,2019,17384967.7744
171,Liban,2019,16702261.2361
286,Slovaquie,2019,16495381.04
221,Nouvelle-Zélande,2019,15524144.234399999
165,Koweït,2019,15408707.327000001
83,Costa Rica,2019,15356551.7325
225,Oman,2019,14193930.070600001
85,Croatie,2019,13144333.49
199,Mauritanie,2019,12936565.996000001
233,Panama,2019,12926231.2706
81,Congo,2019,11934007.7571
129,Géorgie,2019,11528723.6616
325,Uruguay,2019,11238465.1164
41,Bosnie-Herzégovine,2019,11230551.8212
175,Libéria,2019,10620711.6689
246,Qatar,2019,9773518.349599998
5,Albanie,2019,9698626.530000001
256,République centrafricaine,2019,9655682.9928
177,Lituanie,2019,9389399.5572
203,Mongolie,2019,9236216.184799999
19,Arménie,2019,9110679.03
153,Jamaïque,2019,8205178.4216
260,République de Moldova,2019,7866411.984599999
288,Slovénie,2019,6651958.5540000005
181,Macédoine du Nord,2019,6516896.4246
43,Botswana,2019,6437752.376999999
211,Namibie,2019,6300073.5336
169,Lettonie,2019,6258929.1576
113,Gambie,2019,6210080.131200001
111,Gabon,2019,5842804.3685
28,Bahreïn,2019,5203322.4303
315,Trinité-et-Tobago,2019,4488761.9385
167,Lesotho,2019,4421642.391
101,Estonie,2019,4317060.176
125,Guinée-Bissau,2019,4296725.9622
197,Maurice,2019,3922569.2056
75,Chypre,2019,3739630.4647999997
93,Djibouti,2019,3000620.661
103,Eswatini,2019,2908714.8050999995
311,Timor-Leste,2019,2859977.9796
37,Bhoutan,2019,2493577.3098
127,Guyana,2019,2482043.7375
205,Monténégro,2019,2183371.488
179,Luxembourg,2019,2178091.0034000003
69,Chine - RAS de Macao,2019,2119910.468
79,Comores,2019,1969169.605
193,Malte,2019,1675128.7792999998
297,Suriname,2019,1617376.284
57,Cabo Verde,2019,1499822.1463
147,Islande,2019,1319512.6672999999
189,Maldives,2019,1299658.1208
36,Belize,2019,1114818.192
27,Bahamas,2019,1032287.4328
32,Barbade,2019,878991.9032000001
278,Sao Tomé-et-Principe,2019,509760.83999999997
276,Sainte-Lucie,2019,476692.52300000004
282,Seychelles,2019,326905.6266
274,Saint-Vincent-et-les Grenadines,2019,310702.7436
117,Grenade,2019,306598.7392
13,Antigua-et-Barbuda,2019,226104.85520000002
95,Dominique,2019,213039.97500000003
272,Saint-Kitts-et-Nevis,2019,135087.0482
72,"Chine, continentale",2018,4644969503.6289
136,Inde,2018,3470409700.8169003
342,États-Unis d'Amérique,2018,1269967335.5435998
138,Indonésie,2018,779901939.5100001
44,Brésil,2018,688301887.2477
230,Pakistan,2018,545580080.9512
216,Nigéria,2018,502265873.0588
108,Fédération de Russie,2018,488344454.43490005
29,Bangladesh,2018,419685673.43999994
200,Mexique,2018,400818996.213
154,Japon,2018,337315282.7616
336,Égypte,2018,323480319.3832
320,Turquie,2018,313705643.097
238,Philippines,2018,299107154.2
8,Allemagne,2018,298987672.725
328,Viet Nam,2018,277571263.2252
344,Éthiopie,2018,272248235.99520004
140,Iran (République islamique d'),2018,243589663.7804
106,France,2018,225277011.81939998
249,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,2018,222143946.6012
150,Italie,2018,212528351.26770002
308,Thaïlande,2018,198213262.816
263,République démocratique du Congo,2018,188865465.0715
257,République de Corée,2018,175006922.46400002
2,Afrique du Sud,2018,163196069.5932
98,Espagne,2018,157653612.8496
76,Colombie,2018,151362559.7232
208,Myanmar,2018,146257196.39069998
16,Argentine,2018,143792583.088
6,Algérie,2018,142223964.7818
269,République-Unie de Tanzanie,2018,135724246.7292
240,Pologne,2018,133453360.80939999
62,Canada,2018,133277272.765
322,Ukraine,2018,132868378.9215
194,Maroc,2018,122592927.44730002
14,Arabie saoudite,2018,112580136.3183
160,Kenya,2018,111791988.669
289,Soudan,2018,108555810.3632
228,Ouzbékistan,2018,104181323.56480001
184,Malaisie,2018,95239922.1139
142,Iraq,2018,91772080.8628
114,Ghana,2018,90943053.2016
244,Pérou,2018,89107979.9406
226,Ouganda,2018,88706348.9669
20,Australie,2018,86690167.9227
0,Afghanistan,2018,83103994.65939999
222,Népal,2018,80151746.37280001
10,Angola,2018,76693641.2955
88,Côte d'Ivoire,2018,71171571.883
247,Roumanie,2018,70979288.5492
70,"Chine, Taiwan Province de",2018,70018596.5709
60,Cameroun,2018,69710857.325
326,Venezuela (République bolivarienne du),2018,65436879.587000005
158,Kazakhstan,2018,62106898.763
330,Yémen,2018,61388887.217599995
206,Mozambique,2018,60451361.46
292,Sri Lanka,2018,59824965.2265
214,Niger,2018,59624660.8364
236,Pays-Bas (Royaume des),2018,57354907.8596
64,Chili,2018,56506057.146000005
190,Mali,2018,54847432.363
182,Madagascar,2018,54244776.397
48,Burkina Faso,2018,54140224.4736
267,République populaire démocratique de Corée,2018,51374494.11450001
253,République arabe syrienne,2018,49450737.318799995
186,Malawi,2018,47995454.1188
58,Cambodge,2018,44269725.5
120,Guatemala,2018,43598324.2338
33,Belgique,2018,43516014.114
340,Équateur,2018,43296882.7851
300,Sénégal,2018,41204826.1469
316,Tunisie,2018,40496799.856800005
332,Zambie,2018,40337292.1062
86,Cuba,2018,38346658.812
304,Tchad,2018,36200362.8211
118,Grèce,2018,36079642.1043
242,Portugal,2018,35671444.9661
306,Tchéquie,2018,34814291.6484
122,Guinée,2018,34589267.043
22,Autriche,2018,33192490.4409
261,République dominicaine,2018,32286901.023000002
298,Suède,2018,32246095.753
134,Hongrie,2018,32175173.923200004
24,Azerbaïdjan,2018,32008865.056
52,Bélarus,2018,31445060.446799997
54,Bénin,2018,31442198.576
334,Zimbabwe,2018,31092234.573400002
148,Israël,2018,30568822.1632
338,Émirats arabes unis,2018,29505291.3753
294,Suisse,2018,28857617.0218
38,Bolivie (État plurinational de),2018,27772201.7643
251,Rwanda,2018,27539529.7017
156,Jordanie,2018,27004873.9712
132,Honduras,2018,25711813.1745
279,Serbie,2018,25179166.0602
302,Tadjikistan,2018,24456907.427699998
66,Chine - RAS de Hong-Kong,2018,23775499.8928
130,Haïti,2018,23429914.6678
90,Danemark,2018,20611015.0635
50,Burundi,2018,20538141.281799998
46,Bulgarie,2018,20434710.9244
172,Libye,2018,20370511.8793
234,Paraguay,2018,20001127.2528
265,République démocratique populaire lao,2018,19461119.740700003
144,Irlande,2018,19030855.2346
312,Togo,2018,19023799.9224
218,Norvège,2018,18517313.1936
283,Sierra Leone,2018,18466382.5584
104,Finlande,2018,18276910.7296
318,Turkménistan,2018,17492268.387
170,Liban,2018,17402457.9708
96,El Salvador,2018,17325773.8066
162,Kirghizistan,2018,17212555.2326
212,Nicaragua,2018,16929275.8124
285,Slovaquie,2018,15814148.4175
220,Nouvelle-Zélande,2018,15437378.3503
82,Costa Rica,2018,15137765.855699997
164,Koweït,2018,14817373.174199998
224,Oman,2018,14150775.556799999
84,Croatie,2018,13081339.611199997
232,Panama,2018,12674719.569600001
198,Mauritanie,2018,12560029.9887
80,Congo,2018,11565517.136
40,Bosnie-Herzégovine,2018,11306622.295500001
128,Géorgie,2018,11233101.3264
324,Uruguay,2018,11104980.416
174,Libéria,2018,10476593.7408
4,Albanie,2018,9644370.4622
176,Lituanie,2018,9426918.7332
255,République centrafricaine,2018,9268933.253999999
202,Mongolie,2018,9025756.0735
18,Arménie,2018,9010900.152
152,Jamaïque,2018,8124530.496
259,République de Moldova,2018,7970880.3928000005
287,Slovénie,2018,6726076.8288
180,Macédoine du Nord,2018,6405607.7617999995
168,Lettonie,2018,6286035.8502
42,Botswana,2018,6205008.992
210,Namibie,2018,6070204.2304
112,Gambie,2018,5970079.0036
110,Gabon,2018,5819326.2279
166,Lesotho,2018,4802212.1158
314,Trinité-et-Tobago,2018,4460818.1247000005
100,Estonie,2018,4230562.684
124,Guinée-Bissau,2018,4143300.879
196,Maurice,2018,3870167.9646
74,Chypre,2018,3631674.6211999995
92,Djibouti,2018,2946997.86
102,Eswatini,2018,2897663.3358
310,Timor-Leste,2018,2782354.013
126,Guyana,2018,2459133.3162
204,Monténégro,2018,2184782.1394
68,Chine - RAS de Macao,2018,2090992.8998
178,Luxembourg,2018,2071058.1834999998
78,Comores,2018,1920513.309
192,Malte,2018,1669292.163
296,Suriname,2018,1579687.0552
56,Cabo Verde,2018,1480836.0
146,Islande,2018,1277756.649
188,Maldives,2018,1256513.5632
35,Belize,2018,1070353.8222
26,Bahamas,2018,1043571.3723
31,Barbade,2018,863847.7371
277,Sao Tomé-et-Principe,2018,497027.2986
275,Sainte-Lucie,2018,471669.9983
281,Seychelles,2018,319797.642
273,Saint-Vincent-et-les Grenadines,2018,314713.504
116,Grenade,2018,308453.7992
12,Antigua-et-Barbuda,2018,226789.74779999998
94,Dominique,2018,207466.48179999998
271,Saint-Kitts-et-Nevis,2018,137123.2584
