,country,item
146,Soudan,91
112,Népal,90
148,Sri Lanka,90
70,Indonésie,89
84,Lesotho,89
114,Ouganda,89
133,République démocratique du Congo,89
14,Bahreïn,89
142,Seychelles,88
56,Gabon,88
97,Malte,88
47,Djibouti,88
45,Côte d'Ivoire,88
109,Nigéria,88
31,Cameroun,88
174,Éthiopie,88
15,Bangladesh,88
152,Sénégal,88
1,Afrique du Sud,87
96,Mali,87
37,"Chine, continentale",87
156,Thaïlande,87
58,Ghana,87
88,Libéria,87
105,Myanmar,87
29,Cabo Verde,87
169,Zimbabwe,87
81,Kenya,87
23,Brésil,87
22,Botswana,87
136,République-Unie de Tanzanie,87
63,Guinée-Bissau,86
62,Guinée,86
61,Guatemala,86
59,Grenade,86
67,Honduras,86
95,Maldives,86
79,Jordanie,86
78,Japon,86
167,Yémen,86
98,Maroc,86
6,Antigua-et-Barbuda,86
35,Chine - RAS de Macao,86
41,Congo,86
134,République démocratique populaire lao,86
147,Soudan du Sud,86
132,République dominicaine,86
130,République de Corée,86
124,Qatar,86
28,Bénin,86
38,Chypre,86
120,Philippines,86
139,Sainte-Lucie,85
116,Pakistan,85
127,Rwanda,85
123,Pérou,85
118,Paraguay,85
117,Panama,85
93,Malaisie,85
159,Trinité-et-Tobago,85
168,Zambie,85
72,Iraq,85
113,Oman,85
157,Timor-Leste,85
100,Mauritanie,85
101,Mexique,85
102,Mongolie,85
103,Monténégro,85
165,Venezuela (République bolivarienne du),85
104,Mozambique,85
108,Niger,85
87,Libye,85
66,Haïti,85
39,Colombie,85
36,"Chine, Taiwan Province de",85
30,Cambodge,85
13,Bahamas,85
5,Angola,85
20,Bolivie (État plurinational de),85
158,Togo,84
99,Maurice,84
160,Tunisie,84
34,Chine - RAS de Hong-Kong,84
55,Fédération de Russie,84
94,Malawi,84
57,Gambie,84
10,Australie,84
92,Madagascar,84
48,Dominique,84
49,El Salvador,84
32,Canada,84
106,Namibie,84
64,Guyana,84
170,Égypte,84
143,Sierra Leone,84
16,Barbade,84
26,Burundi,84
69,Inde,84
25,Burkina Faso,84
129,République centrafricaine,84
173,États-Unis d'Amérique,84
107,Nicaragua,84
140,Sao Tomé-et-Principe,83
151,Suède,83
128,République arabe syrienne,83
71,Iran (République islamique d'),83
18,Belize,83
166,Viet Nam,83
75,Israël,83
9,Arménie,83
77,Jamaïque,83
80,Kazakhstan,83
83,Koweït,83
3,Algérie,83
76,Italie,82
126,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,82
86,Liban,82
154,Tchad,82
44,Cuba,82
11,Autriche,82
149,Suisse,82
7,Arabie saoudite,82
150,Suriname,82
111,Nouvelle-Zélande,82
50,Espagne,82
12,Azerbaïdjan,82
164,Uruguay,81
163,Ukraine,81
171,Émirats arabes unis,81
172,Équateur,81
153,Tadjikistan,81
138,Saint-Vincent-et-les Grenadines,81
137,Saint-Kitts-et-Nevis,81
27,Bélarus,81
74,Islande,81
42,Costa Rica,81
110,Norvège,81
40,Comores,81
52,Eswatini,81
54,France,81
46,Danemark,80
135,République populaire démocratique de Corée,80
121,Pologne,80
145,Slovénie,80
51,Estonie,80
122,Portugal,80
90,Luxembourg,80
4,Allemagne,80
65,Géorgie,80
68,Hongrie,80
131,République de Moldova,80
8,Argentine,79
82,Kirghizistan,79
162,Turquie,79
0,Afghanistan,79
21,Bosnie-Herzégovine,79
33,Chili,79
141,Serbie,79
73,Irlande,79
144,Slovaquie,78
125,Roumanie,78
60,Grèce,78
89,Lituanie,78
119,Pays-Bas (Royaume des),78
91,Macédoine du Nord,78
24,Bulgarie,77
161,Turkménistan,77
53,Finlande,77
85,Lettonie,77
2,Albanie,77
115,Ouzbékistan,77
43,Croatie,76
155,Tchéquie,75
19,Bhoutan,75
17,Belgique,73
